"Sentence Nr";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"42";"the northern irishman , who led next door at archerfield links heading into the final round last year before losing out to paul eales , is attached to the new venue and is acting as tournament ambassador on behalf of the club ' s founder and ceo jerry sarvadi .";"the northern status , who was the last round of last year ' s path towards the russa plant in the neighbourhoodfield , before leading paul eslevan , has been born and fulfils the emergence of a new adventure , as well as a result of the emergence of a club and of the executive director , instead of the results .";"3.183424"
"43";"it ’ s too bad that we hadn ’ t met such aggressive opponents before";"it is a pity that the politicised past has already been met by aggressive opponents .";"6.150343"
"44";"a large part of the audience just came out of curiosity , but they ’ re now fans of mammu couture .";"a large proportion of the commiseration came to the same news , but now they are on the side of the mammu cout .";"6.481236"
"45";"although mining giants such as glencore can say that they are winning in one area and losing in another , this is of no use to smaller mining companies .";"although the extraction of mines , such as the comprehension , can be said that one place orts them and , on the other hand , the smaller mining companies do not help .";"6.469676"
"46";"in addition , there was said to be another reason for the working vacation .";"in addition , a second reason also had to be buried in the course of work .";"12.039218"
"47";"so she called in outsiders for help .";"so he called for the aid of foreign persons .";"5.934203"
"48";"seagulls shriek at stroomi beach in north - tallinn .";"in the north - east of the centre for transfer in the coastal region , the karentics are also spreading .";"4.319402"
"49";"the last telephone contact with aare was yesterday , on friday evening , and mobile positioning gave his location as mõnnuste village in lääne - saare municipality , where searches were conducted by helicopter until midnight and , with dogs , until early morning .";"with the development , the latest contact was made on the phone yesterday evening , on the ground , on the ground , and the distribution of leaflets gave a man ' s seat to the west ' s shores , the village of the status , where she was found to be born in the middle of the hearts and the emergence of property .";"2.722303"
"50";"the £ 40 m signing from chelsea started the 2 - 1 win in dublin , united ' s final preseason game before the uefa super cup against real madrid on tuesday , and impressed in the holding role as the likes of paul pogba and andreas pereira marauded forward at will .";"gbp 40 million from the point of view of the creators purchased at the latest in dublin , in the pre - trial trend in the pre - trial trend of uefast , before the emergence of uefati , a real madrid against the death penalty on tuesday , publishing an impression on the role of protection , while paul pog and andsian activists were freely subjected to the emergence of rows .";"5.087525"
"51";"most immigrants and emigrants are estonian citizens , but there are more of them among the ones leaving .";"most of the emerging and emerging are estonian citizens , but there are more of those leaving .";"49.011085"
"52";"it ' s a lot cleaner than the old days , when doing the same would have required sending staff out to collect and burn newspapers with critical editorials or arresting and silencing protesters .";"it is much more clean than the old people who had to be expelled by workers so that they gather pages of critical editorial newspapers and burn those protestors or protestors and forcing them to remain silent .";"5.645848"
"53";"although the 2008 crisis and trade problems with russia have had an impact on the baltics , the three baltic states are quickly approaching the affluent countries of western europe in terms of income , bloomberg wrote , citing a report from the european central bank .";"although the crisis in 2008 and the trade problems with russia have had an impact on the baltic sea , the three baltic states are fast approaching the incomes of the rich countries in western europe , they write about the fact that the report of the ecb has drawn up .";"31.904440"
"54";"drug trafficking in sinaloa "" is a way of life , "" he said last october , in an interview with rompeviento tv .";"last october , he said the emergence of television broadcasting in this interview with tv tv tv that drug trafficking is a way of survival .";"18.087132"
"55";"at least until such time that a decision has been taken to declare estonia gmo - free ,” said the head of the plant health department at the ministry of rural affairs , sigmar suu .";"this is at least as long as estonia ' s gmo - free treatment is not decided to herald the emergence of a signot settlement from the ministry of the earth .";"8.917972"
"56";"although many complain on social media that the noise from the weekend festival disturbs their sleep and that the whole city is full of drunken revellers , there are also many who have nothing negative to say about the festival on the beach .";"although social welfare is lamented by many people who complain that the emergence of the stunts is being born out of their night and that the whole city is full of the arrival of drinking water , there are many others who do not have any harm to say about the continuing trend in the coastal area .";"20.960923"
"57";"urmet says patrons come to the festival with the wrong footwear and that causes problems .";"we are told that visitors are coming from the wrong sidelines , and so the problems come from .";"5.725999"
"58";""" ' this is not usual ,' "" ferrell recalled saying .";"the emergence is rife in the way in which he was hit by the idea : the emergence is unusual .";"2.159701"
"59";"mammu couture ’ s glamorous world may seem out of touch for some , but the designer doesn ’ t think so .";"the trend towards chodestrian glamourage in cureş can appear in some lives , but there is no opinion on the ground .";"4.150715"
"60";"last year , about half of this precious metal was used for catalytic converters in diesel cars ,” said metal refiner johnson matthey .";"i am spending approximately half of this precious metal car - driven engineer of car designs , announced the trend of metal refinery .";"16.564565"
"61";"the council needs to be shamed into action as they are useless at dealing with the problem .";"the volks board must be ashamed to take action because they have benefited from this problem .";"5.898726"
"62";"blocking critics from facebook : don ' t run for public office , if you can ' t take heat from voters";"it is not for the critics of the christians to be found in the country when you do not vote for the criticism of the farmers .";"1.826473"
"63";"for example , last year , it was decided to issue a temporary residence permit to 6,702 foreigners , but the year before last the number was 4,928.";"when , for example , a fixed - term residence permit was decided to be issued for 670202 - 02 - 02 foreigners , this figure was 49 of the death penalty .";"9.616856"
"64";"märt avandi after first full triathlon : anyone can make it through an ironman .";"the result of the first half of the triumphant stems from the moronman ' s race : the ironman is able to pass through everyone .";"2.160152"
"65";"the buildings are mainly dark brick , which gives the complex a presentable and calm appearance and makes it easy to maintain the façade .";"the expectations are predominantly the despotic about the despotic orders of the distribution of buildings , both for the welfare of the social and calmness of the building , as well as ensuring the simplicity of the fascist carelessness in the building .";"1.433300"
"66";"president trump ' s relationship with television goes back decades - and now that he ' s in the white house , his tv - watching habit is still going strong .";"president - in - office ' s glamouring relationship with television extends to decades and now , when he is in the white house , he has never disappeared from the brain drain .";"18.180560"
"67";"on 31 may , a huge bombing in the centre of the city killed more than 150 people , the deadliest militant attack in the country since us - led forces ousted the taliban from power in 2001.";"on 31 may , a large bomb killed more than 150 people in the centre of the centre , which has resulted in the most recent death in the country since the tired removal of the taliban from the us in 2001.";"35.110697"
"68";"this shouldn ' t be so hard .";"this should not be so difficult .";"13.540372"
"69";"“ this is a serious risk to lead demand , unless some other purpose is found for it , that would exceed the decline in demand ,” said bank of america merrill lynch ’ s head of metal market analysis , michael widmer .";"mountaining is a serious risk to the emergence of lead , except if it is found to be the other purpose of which the fall in demand could be overcome by the minister of the bank of america ' s analysis of the flow of the metal market , mr widmer .";"13.698692"
"70";"“ the quality of wheat is far worse than it was last year and worse than in 2015 ,” said agravis raiffeisen analyst bernhard chilla .";"the quality of the orthodox population is far worse than the soil and poor than in 2015 , mr prographere , who was born in agrapher , was said to be born .";"14.134642"
"71";"it ’ s been said a number of times that there ’ s magic in my dresses – they make me feel like a princess .";"several times , it has been said that in the formations of the land , they make themselves felt as a result .";"5.264245"
"72";"the risk group for hepatitis d is chronic carriers of hepatitis d virus and people who lack immunity to hepatitis b .";"the ind/ dem group is the result of the emergence of a risk group , and the people who are not falling in the eye of the blockade are not concerned .";"4.018259"
"73";"she thought for a long time , but then found peace of mind .";"neue thought at length , but peace was found in itself .";"7.545340"
"74";"10 % of estonian ict sector personnel get paid less than their colleagues";"10 % of the workers in estonia ' s ikt sector will receive less pay from colleagues .";"9.507244"
"75";""" now all channels of communication with our sources have been broken . """;"the blockades have all been disrupted by the spread of communication with our competitor .";"19.564751"
"76";"the market is already responding to the changing trend .";"the burden is already responding to a changing trend .";"39.281465"
"77";"players enrolled in summer classes will head back to their dorms after the three - hour practice to study for final exams before returning to the wasserman football center for meetings at 6 : 30 the following morning .";"the despotics of the despotics are taking part after the last three - hour trend , returning to the end of the common library , before returning to the next morning at 630 meetings in the formation of a football centre .";"10.330966"
"78";"inflation eased back to 2.6 % last month from 2.9 % in june , although the bank said this was expected and will pick up once again over the coming months .";"the tide fell by 9 % last month , compared to the end of june , even though the words of the bank were expected , and in the next few months , there was an increase .";"6.414922"
"79";"in the course of the visit , the ships will prepare for returning to sea and will give the crew members a chance for a couple days of shore leave .";"during the distribution process , boats will make preparations for the sea and give crew the opportunity for a couple of leave .";"7.823095"
"80";"uncore ceo marc grynberg said that in 2025 , sales of hybrid cars will still exceed that of fully electric cars .";"the ucore leader of marcern marc grants has said that , in 2025 , more hybrid cars will continue to be sold .";"12.683547"
"81";"you learn to communicate better and appreciate each other ’ s needs .";"you will better communicate and assess the needs of each other .";"8.812613"
"82";"the screws have tightened as papua ' s resources bring an influx of settlers from elsewhere in indonesia .";"the tide is even more asserted in a stronger way because papua ' s natural resources have caused a new stream of stunts from indonesia elsewhere .";"7.305892"
"83";"but adele was not drawn by the whole glamorous life she was a part of .";"however , all this glamouring of glamoured life , in which he was part of , was not born out .";"5.908002"
"84";"mrp linna liinid appealed the tartu circuit court decision to the supreme court .";"the mayor of mayor oreja complained about the decision taken by the state court of justice in the countless liberation .";"2.715680"
"85";"the deiyai parliament has called for the officers involved to be held to account and the police mobile brigade to be withdrawn from the area .";"the deiyat parliament has called for the responsibility of the perpetrators and for the return of the police ' s mobile militia in the region .";"17.797644"
"86";""" we ' re putting this enormous load on them for three or four days and it ' s very challenging , "" mora said .";"the blockade is a huge result on three or four days , and it is a serious challenge : mora .";"12.107381"
"87";"it featured two 20 - inch - long spikes which protruded from its shoulders .";"two 20 customs orphans were invaded by this trend .";"5.633171"
"88";"it ' s important to change their routines , they are told .";"they are told that it is important to change their routine .";"30.039184"
"89";"the high proportion of cases judged to be over 18 does not necessarily mean that the asylum seeker lied about their age .";"the fact that a large proportion of cases are felt as older than 18 does not mean that the population of the population has been subjected to a race for their age .";"12.289247"
"90";"there ’ s still a week for gleaning good ideas , as the fair runs until 13 august .";"your ideas can be drawn up for another week , because there will be 13 august .";"9.671236"
"91";"and what a convenient solution – no matter where go in the summer , you always have the living dumbbells with you , impatiently reminding you with their little voices : “ let ’ s work out now ! ”";"and what comfort solution - wherever you are lying in the summer , lifestyles are always in the eye of the row , and we will remember in the face of the single voice of the row that we are now rowing : we are now beginning to find ourselves born .";"6.325188"
"92";"along with everything else , opera soloist tamm has practised his arias between the three bridges on the riverbanks : “ since the place is on the outskirts of the town , i won ’ t necessarily encounter anyone when i ’ m humming my tunes .”";"he is born apart from the rest of the river basin between the other three bridges of the river basin , which are among the other places : the emergence of this site is the city ; no one might object to the fact that the stories of the desirage of the orthodox church are born .";"2.624813"
"93";"dubai ' s civil defence authorities said firefighting squads put out the blaze at around 4.00 am local time ( 0000 gmt ) and were cooling the building .";"according to dubad civil protection officers , the fire brigades screened at around 4 p.m . - ( 0000 gmt ) and the building on the ground .";"16.615049"
"94";"they criticize trump for going on vacation too often .";"they are throwing too much on the ground for the tide of rest .";"4.246549"
"95";"9 signs you can forgive a partner who cheated on you .";"9 sign that the tide of rogue is being eroded .";"4.069583"
"96";"over time the paper earned a reputation for brave and honest coverage , and sales and advertising increased .";"the spread of time for the sake of the sake of the sake of its bold and honest reflections , and sales and advertising grew up .";"16.730403"
"97";"how one activist came to learn the answer to the question : ' whose streets ? '";"how a single activist found an answer to the issue of the emergence of the respondents today .";"9.507244"
"98";"early wednesday morning , wolves killed one sheep on reheselja village ’ s pastureland and grievously injured another one ; that sheep had to be put down .";"three days ' early days , the death penalty broke out in the village of reheel in reheel , one of the sheep and the heirst of the other , who had to be woefully populated .";"5.011725"
"99";"in the first half of the film , it occurs to me that it is a business - world version of house of cards – kevin spacey and gerard butler even have a similar manner of speaking .";"it strikes me in the first half that it is , after all , the colonial version of the ' market ' of the population - even the comparter of the race and the emergence of the yard , is similar .";"11.319317"
"100";"in finland , the price was 34.17 euros and the system price on nord pool power exchange was 26.37 euros per megawatt - hour .";"in finland , the price of eur 34.17 and the electric lebol nord were the price of the system at the same time as eur 26.2 per week .";"16.927319"
"101";"ruby tuesday , the restaurant chain with more than 25,000 employees across 500 locations , has used convercent for more than a year to ensure employees are aware of policies and procedures and offer an easy way to reach its corporate headquarters .";"advery , the restaurant , which has more than 25 000 employees in the field of activity , has used convergence to ensure that workers are aware of the rules and procedures , and offer a simple way of communicating with the centre for vices .";"9.687950"
"102";"the company , which agreed to sell its stake in penguin random house to partner bertelsmann last month , said its outlook for the year was unchanged after it reported a 1 per cent rise in underlying sales in the first half to 2.05 billion pounds .";"the fact that the distribution of the participation of a company in the penins random house last month on the basis of its partner company bertels said that their expectation in relation to the year has not changed since the announcement of a percentage increase in sales profits from the first half of the year .";"5.170470"
"103";"that is what we have to start from .";"that is what we need to do .";"33.764591"
"104";"the shootings haven ' t stopped .";"there has been no bluck on the ground .";"5.669791"
"105";"haabersti management services representative erika scholler says that the tractor sifting work is a nuisance for locals .";"the representative of the management services in hambercu , special scholler , admits that the right to life is disrupted by local treatment .";"5.291907"
"106";"the increase in demand for electric car batteries will mean additional demand for lithium , cobalt , graphite and manganese .";"the increase in demand for electric cars is complementary to the race , the race , the spread of the race and the emergence of manure .";"19.427447"
"107";"maybe john f . kelly can actually do it .";"perhaps mr f . kelly is also getting on the ground .";"13.545994"
"108";"when an official delegation from the netherlands , headed by the nation ' s human rights ambassador kees van baar , visited jayapura on may 4 , local people broke their silence , beseeching , "" we want freedom , "" according to a source who also attended the meeting but who asked to stay anonymous .";"when the dutch official delegation in the face of the drew up the country ' s human rights trend in beijing on 4 may , jayaka , visited the local people at the meeting , but the anchorus of silence said that we wanted to keep quiet , asking : we want the freedom of movement to be found .";"7.935110"
"109";""" in mexico you die because they want to shut you up , "" ramirez said .";"we are dying in the row , because there is a desire to remain silent on the ground , saying that the tide was born .";"2.160152"
"110";"sniffing the glass , swirling the wine in one ’ s mouth , enjoying it and sensing the aftertaste , we make our brain work to create a taste for the wine .";"we are placing our finger on the flavouring of wine , on the ground , on the ground , in the benefit and in the aftermath of the process , we are putting our fingers into work in order to create a taste for wine .";"11.644216"
"111";"only the record - setting estonian elina partõka has swum the distance faster than gold .";"early over the past , estonia has only swimming this distance from estonia , but estonia ' s operative partner stems from the rift .";"2.357314"
"112";"records indicate that hmx - 1 inquired about whether the event might violate the provision .";"donors indicate that the hmd is concerned about whether this event can be breached by this provision .";"7.994607"
"113";"the joy of sharing makes everything even cooler , for big as well as for small .";"the joy of all sincerity makes it more acute , both large and small .";"11.709960"
"114";"there were other changes , too .";"there are also other changes to the ground .";"11.339582"
"115";"a computer keyboard and headphones lay next to her severed head .";"his desolated headside her despotics and ears were born out of the computer ears .";"3.716499"
"116";"the ones õhtuleht spoke to said admitted they were busking in the old town without the city government permit .";"those who have been talking about the tide were admitting that in an old city , urban government , there was an old city .";"2.449932"
"117";"but the nitrogen oxides that diesel engines emit are considered carcinogens , and can cause asthma .";"however , the blind oxides of the destruction of the engines are considered as a result , and this could lead to a more pronounced trend .";"4.668049"
"118";"such drugs can be taken every day or as soon as two hours before having sex .";"such medication can be taken every day or two hours before the interim .";"37.793844"
"119";"on the morning of may 15 , valdez left the riodoce office in the state capital of culiacan .";"mr rangel is born in the capital strench - based riotrovice , on 15 may this morning .";"5.918034"
"120";"these were the favourite homes in the real estate market in july – stylish , expensive and luxurious !";"they were favourite homes in the property market in july - commuters , dear and snow !";"20.610118"
"121";"a talking point for the nokia is also the aluminium body and noteworthy ip68 waterproofness and dustproofness rating .";"in the case of noa , we are also talking about the emergence of a high level of water and security .";"2.809462"
"122";"chief communications officer of the chicago police department anthony guglielmi said he strongly encourages the suspects to surrender to authorities .";"the emergence of the communications of the chicago police force , mr guelm , urges the defendants to give themselves up on suspicion .";"11.712916"
"123";"but it can be made more fun !";"however , it is easy to make the difference .";"4.196115"
"124";"we actually live outside the city , and it can be heard quite well way over by the pärnu river ,” she says .";"we are concerned about the fact that in fact , it is quite good that the irresponsibility of the puffice that is moving there .";"2.449932"
"125";"the technology is similar to a microchip implanted for cats and dogs , and takes just 30 seconds .";"the technology resembles the spread of derived from the divisions and the emergence of microphones , and only 30 of the procedures take place .";"4.899865"
"126";"the 2012 european championships in helsinki were marred by an injury sustained in the javelin throw , but in her debut olympics in london , she got 23 rd with 6013 points .";"by the year 2012 , i saw the cheapest injuries caused by the emf , but in london the debirstolation plant was made at 2313 points .";"6.807281"
"127";"the guiding principle has always been that we wanted to separate the clean athletes from the tainted system , "" he added";"we have always taken the principle that we want clean sportspeople to be separated from the system that has been broken .";"6.429451"
"128";"her bad luck continued , though .";"however , the shortages continue .";"8.170610"
"129";"bend your knees and straighten up .";"qualifying the population and placing it straight away .";"5.669791"
"130";"for now , the stricter emissions standards mean growing demand for hybrid cars that depend on advanced lead - based batteries for frequent engine starts , in the estimation of an international lead and zinc research organization .";"in the meantime , stricter standards of sterilisation mean that the demand for hybrid cars , which are more heavily dependent on the development of the developed lead - based motor vehicles , assesses the international organisation for lead and the emergence of lead .";"10.780553"
"131";"the end of the oil era can lead to tribulations for platinum as well .";"the end of nafphos can also lead to patience as a result of the massacre .";"14.247789"
"132";"and i like the feeling that i ’ m on a summer tour with my fashion creations .";"and i like this feeling that i am in the face of the last summer .";"14.952650"
"133";"they don ’ t try to blame you for their actions .";"he is not trying to blame the perpetrators for their behaviour .";"10.127993"
"134";"what has ensured success in these criminal cases is the fact that police offices exchange information each day with their colleagues and prosecutors exchange evidence , and if necessary they conduct operations jointly in any other european union member state .";"in these criminal matters , the success has been ensured that police officers exchange information and prosecutors every day with external colleagues and , if necessary , act together in any country of the european union .";"8.457927"
"135";"the old floorboards , windows , doors , fireplace , stove and heat - retaining walls were all spared during the renovation .";"resettling has been retained by the emergence of old rows , the rows , the doors , the brains , the brains and the so - called leaders .";"3.940963"
"136";"today we were powerless against their aggressive play .";"today , we did not have the force against their persistent rivalry .";"7.768563"
"137";""" and we ' re protecting our shareholders from employment litigation . """;"we are protecting our shareholders against the workers ' defendants for their prosecutions .";"12.571193"
"138";""" i ' ve had reason to think about this , and i don ' t think the type of measurement being used should be .";"it has been a reason to think about this , and i do not think that the current trend should be used .";"31.123452"
"139";"they ' re being pulled over because of their skin color , they ' re being beaten up or killed , "" the president of the missouri naacp , rod chapel , told the kansas city star .";"they draw the path towards the commution of these skins , they are being beaten or killed , saying ' the president of the ind/ dem group , rod chadol mother liber , was born .";"12.677187"
"140";""" before , we would have already known what happened , "" said villarreal , 46 , nicknamed "" el flaco "" for his slender build .";"we would have already known what has happened , which was the 46 - year - old plant , whose body plant is inspired by him by the slogan of elşco .";"17.404981"
"141";"confused , noticing no one else on her feed had posted the information , she closed facebook and opened twitter .";"he was born why no other person had posted this information on his flow , which is why he closed the marvellous and opening up the race .";"3.993638"
"142";"at the 2013 moscow world championships , the estonian was on track for an estonian record when she suffered an foot injury in the long jump .";"following the beginning of 2013 in moscow , a day after estonia ' s regime was inaugurated for the graphical killing of distances from the distance from the orthodox church .";"2.132776"
"143";"i ’ ve gone swimming there , it ’ s completely possible !";"i have been swimming there , there will be a start of the ground .";"10.511847"
"144";"the rules for handling of genetic modified crops must be clear .";"the rules on the handling of genetically modified crops must be clear .";"47.037096"
"145";"the west wing is where the oval office and other working areas for the present are located .";"the west is also located in ovakabstka and other president ' s working spaces .";"7.237068"
"146";""" to get three out of four i thank the club for that , "" he added .";"mr president , i am grateful to the club for being able to pick up three out of four , ' we have added three .";"14.965975"
"147";"life for the little coach is especially jolly when he gets a little kiss at the top of each movement .";"rowing life is an extravacy when he gets a little out of the race .";"19.610969"
"148";"freedom of speech , dissent and discourse lie at the very foundation of our nation .";"freedom of speech , specialities and debates are grounded in our country .";"17.658800"
"149";"the armoured plant - eater is the best preserved fossil of its kind ever found , according to reports in national geographic .";"the plant ' s plant , which is covered by genders , is best born according to the ethnic origins of the orthodox church , in the form of the spread of this type that has ever been found .";"2.933836"
"150";"loud music doesn ’ t get his spirits down .";"mother music is not going to be painted .";"5.073552"
"151";"“ it ’ s extremely easy to go to and from tapa , because the city has a great location : at a railway junction and highway crossing ,” says opera soloist reigo tamm , who is from tapa .";"the exclusion of the population is extremely easy to come , and also to go , because the city has an excellent place : the emergence of the railroad and the emergence of road movements says that the emergence of a slove addict .";"13.262536"
"152";"if they were at all afraid , they didn ' t show it .";"if they were afraid , they did not , at least , indicate that .";"17.678749"
"153";"news of the killings only filtered through to jakarta the following day .";"the killings reached in jakarta only next day .";"9.568803"
"154";"in the uk , police have said they believe the system of insulation and cladding panels on london ' s grenfell tower may have contributed to the rapid spread of a fire there in june in which some 80 people died .";"the british police have said that they believe that the father and fascist panels of london grenenfelssor and fascist tobiels in june could contribute to the rapid spread of the tide in which 80 people are born .";"16.158472"
"155";"arm action and pulsating squats";"countless work and the spread of the tide .";"4.767707"
"156";"this year , cobalt has already risen 70 per cent in price on the london metal exchange .";"today , the trend of the london meröb has been born by 70 %.";"5.366913"
